algorithm,board_size,obstacle_density,elapsed_time,steps,path_found
AStar,"(50, 50)",0.25,5.210176706314087,833,True
AStar,"(50, 50)",0.25,3.612678050994873,836,True
AStar,"(50, 50)",0.25,5.892126798629761,942,True
AStar,"(50, 50)",0.25,3.924970865249634,908,True
AStar,"(50, 50)",0.25,0.06109428405761719,10,False
AStar,"(50, 50)",0.25,0.01638507843017578,4,False
AStar,"(50, 50)",0.25,7.447189092636108,1195,True
AStar,"(50, 50)",0.25,3.6690351963043213,850,True
AStar,"(50, 50)",0.25,0.04249405860900879,7,False
AStar,"(50, 50)",0.25,4.026853561401367,914,True
AStar,"(50, 50)",0.25,11.555393934249878,1865,False
AStar,"(50, 50)",0.25,0.027794361114501953,5,False
AStar,"(50, 50)",0.25,2.702332019805908,622,True
AStar,"(50, 50)",0.25,3.6429457664489746,585,True
AStar,"(50, 50)",0.25,5.066919326782227,817,True
AStar,"(50, 50)",0.25,8.010604619979858,1851,False
AStar,"(50, 50)",0.25,4.51209831237793,717,True
AStar,"(50, 50)",0.25,5.188036680221558,833,True
AStar,"(50, 50)",0.25,5.035314559936523,814,True
AStar,"(50, 50)",0.25,3.228199005126953,756,True
AStar,"(50, 50)",0.25,3.0302391052246094,487,True
AStar,"(50, 50)",0.25,3.6945297718048096,867,True
AStar,"(50, 50)",0.25,6.307726860046387,1005,True
AStar,"(50, 50)",0.25,0.0382997989654541,9,False
AStar,"(50, 50)",0.25,5.952837705612183,953,True
AStar,"(50, 50)",0.25,4.540382385253906,741,True
AStar,"(50, 50)",0.25,3.0509629249572754,705,True
AStar,"(50, 50)",0.25,0.0066585540771484375,2,False
AStar,"(50, 50)",0.25,11.558313131332397,1853,False
AStar,"(50, 50)",0.25,2.818256378173828,656,True
AStar,"(50, 50)",0.25,0.01293635368347168,3,False
AStar,"(50, 50)",0.25,4.47361159324646,1017,True
AStar,"(50, 50)",0.25,0.008146286010742188,2,False
AStar,"(50, 50)",0.25,0.00406193733215332,2,False
AStar,"(50, 50)",0.25,6.248536825180054,1012,True
AStar,"(50, 50)",0.25,0.003954887390136719,2,False
AStar,"(50, 50)",0.25,3.1309235095977783,716,True
AStar,"(50, 50)",0.25,4.335596084594727,688,True
AStar,"(50, 50)",0.25,4.684610843658447,1103,True
AStar,"(50, 50)",0.25,0.008155584335327148,2,False
AStar,"(50, 50)",0.25,5.065603971481323,1141,True
AStar,"(50, 50)",0.25,5.288781404495239,853,True
AStar,"(50, 50)",0.25,2.985421657562256,688,True
AStar,"(50, 50)",0.25,0.02113032341003418,4,False
AStar,"(50, 50)",0.25,0.02503824234008789,6,False
AStar,"(50, 50)",0.25,11.496509552001953,1862,False
AStar,"(50, 50)",0.25,4.805378437042236,774,True
AStar,"(50, 50)",0.25,4.354980230331421,704,True
AStar,"(50, 50)",0.25,6.215140342712402,1004,True
AStar,"(50, 50)",0.25,4.024409532546997,939,True
AStar,"(50, 50)",0.25,6.455054759979248,1041,True
AStar,"(50, 50)",0.25,4.092711925506592,667,True
AStar,"(50, 50)",0.25,0.02375340461730957,6,False
AStar,"(50, 50)",0.25,4.597795724868774,742,True
AStar,"(50, 50)",0.25,0.015533447265625,4,False
